abb	OOD_Term
abetting	Common_Term
abm	OOD_Term
abuse	Common_Term
abuse of functions	Specific_Term
abuse of position	Common_Term
abuse of power	Common_Term
accessories	Common_Term
accessory	Common_Term
accomplices	Common_Term
accountability	Common_Term
accountable	Common_Term
accountants	Common_Term
accounting	Common_Term
accounting irregularities	Common_Term
accounting offences	Common_Term
accounting standards	Specific_Term
accounts	Common_Term
acquis	Specific_Term
act of corruption	Common_Term
action grants	Specific_Term
action plan	Specific_Term
active corruption	Specific_Term
activity-based budgeting	OOD_Term
activity-based management	OOD_Term
acts of bribery	Common_Term
acts of corruption	Common_Term
additional tenths	Specific_Term
adjudicating	Common_Term
adjudication	Common_Term
administration	Common_Term
administrations	Common_Term
administrative	Common_Term
administrative board of review	Specific_Term
administrative capacity	Specific_Term
administrative fraud investigations	Specific_Term
administrative investigations	Common_Term
administrative penal legislation	Common_Term
advantage	Common_Term
advantages	Common_Term
advisory committee	Specific_Term
advisory committee on the conduct of members	Specific_Term
aggravating circumstances	Specific_Term
aiding	Common_Term
allegations	Common_Term
annual accounts	Specific_Term
anti-bribery	Common_Term
anti-bribery convention	Specific_Term
anti-bribery laws	Common_Term
anti-corruption	Common_Term
anti-corruption agencies	Common_Term
anti-corruption authorities	Common_Term
anti-corruption culture	Common_Term
anti-corruption instruments	Specific_Term
anti-corruption laws	Common_Term
anti-corruption legal framework	Specific_Term
anti-corruption legislation	Common_Term
anti-corruption measures	Common_Term
anti-corruption network	Specific_Term
anti-corruption policies	Common_Term
anti-corruption policy	Common_Term
anti-corruption reforms	Common_Term
anti-corruption report	Specific_Term
anti-corruption reports	Specific_Term
anti-corruption services	Common_Term
anti-corruption standards	Common_Term
anti-corruption strategy	Common_Term
anti-fraud	Common_Term
anti-fraud framework	Specific_Term
anti-fraud policy	Common_Term
anti-fraud strategy	Common_Term
anti-money laundering systems	Common_Term
appeal	Common_Term
appeal procedures	Common_Term
appropriations	Specific_Term
arrest	Common_Term
arrest warrant	Common_Term
assessment mechanism	Common_Term
asset	Specific_Term
asset recovery	Specific_Term
assets	Specific_Term
audit	Specific_Term
audit committee	Specific_Term
audit committee mandate	Specific_Term
audit schemes	Specific_Term
auditing	Specific_Term
auditing standards	Specific_Term
auditor	Specific_Term
auditors	Specific_Term
audits	Specific_Term
