Connect	B
Your	O
Horse	B
in	O
Shoulder-Fore	B

How	O
to	O
use	O
upward	B
and	O
downward	B
transitions	I
with	O
half-halts	B
in	O
shoulder-fore	B
.	O

If	O
you	O
were	O
successful	O
with	O
Exercise	B
1	O
,	O
Get	O
Your	O
Horse	B
's	O
Pushing	O
Engine	O
in	O
Gear	O
(	O
Read	O
it	O
here	O
)	O
,	O
you	O
got	O
your	O
horse	B
's	O
pushing	O
engine	O
in	O
gear	O
and	O
were	O
able	O
to	O
steer	O
without	O
reins	B
.	O

This	O
next	O
exercise	B
helps	O
you	O
connect	B
your	O
horse	B
's	O
engines	O
by	O
doing	O
upward	B
and	O
downward	B
transitions	I
with	O
half-halts	B
in	O
shoulder-fore	B
.	O

Step	O
1	O
:	O
Shorten	O
the	O
stride	B
and	O
put	O
your	O
horse	B
on	B
the	I
aids	I
.	O

Half-halt	B
to	O
rebalance	B
him	O
from	O
behind	O
into	O
a	O
shorter	O
frame	B
.	O

This	O
shorter	O
frame	B
invites	O
you	O
to	O
shorten	O
your	O
reins	B
.	O

Channel	O
your	O
horse	B
in	O
the	O
shape	O
of	O
shoulder-fore	B
:	O
The	O
inside	B
hind	O
steps	B
into	O
the	O
space	O
between	O
the	O
two	O
front	B
legs	I
.	O

Keep	O
the	O
outside	B
hind	O
in	O
alignment	O
with	O
the	O
outside	B
fore	O
.	O

Ride	B
straight	O
toward	O
a	O
mirror	O
if	O
possible	O
so	O
you	O
can	O
monitor	O
your	O
horse	B
's	O
shape	O
.	O

This	O
is	O
difficult	O
,	O
so	O
be	O
quietly	O
persistent	O
.	O

Step	O
2	O
:	O
Do	O
forward-and-back	O
transitions	B
in	O
the	O
walk	B
.	O

Go	O
from	O
a	O
free	B
walk	I
on	O
the	O
diagonal	B
,	O
back	O
to	O
a	O
medium	B
walk	I
before	O
the	O
corner	B
and	O
through	O
the	O
short	B
side	I
and	O
the	O
next	O
corner	B
.	O

Then	O
do	O
a	O
free	B
walk	I
on	O
the	O
diagonal	B
again	O
.	O

These	O
transitions	B
show	O
your	O
horse	B
exactly	O
how	O
to	O
respond	O
.	O

Ride	B
from	O
inside	B
leg	I
to	O
outside	B
rein	I
in	O
shoulder-fore	B
,	O
which	O
balances	B
him	O
on	O
the	O
outside	B
rein	I
and	O
helps	O
him	O
relax	B
.	O

Step	O
3	O
:	O
Do	O
shoulder-fore	B
in	O
trot	B
and	O
in	O
canter	B
.	O

Shoulder-fore	B
is	O
difficult	O
but	O
persist	O
quietly	O
.	O

When	O
you	O
're	O
successful	O
,	O
your	O
horse	B
will	O
give	O
it	O
to	O
you	O
more	O
readily	O
,	O
because	O
he	O
likes	O
to	O
be	O
balanced	B
too	O
!	O

