Dressage	B

Dressage	B
(	O
a	O
French	O
term	O
,	O
most	O
commonly	O
translated	O
to	O
mean	O
training	B
)	O
is	O
a	O
highly	O
skilled	O
form	O
of	O
riding	B
performed	O
in	O
exhibition	O
and	O
competition	B
,	O
as	O
well	O
as	O
an	O
art	O
sometimes	O
pursued	O
solely	O
for	O
the	O
sake	O
of	O
mastery	O
.	O

As	O
an	O
equestrian	B
sport	O
defined	O
by	O
the	O
International	O
Equestrian	B
Federation	O
,	O
dressage	B
is	O
the	O
highest	O
expression	O
of	O
horse	B
training	I
where	O
horse	B
and	O
rider	B
are	O
expected	O
to	O
perform	O
from	O
memory	O
a	O
series	O
of	O
predetermined	O
movements	B
.	O

Competitions	B
are	O
held	O
at	O
all	O
levels	O
from	O
amateur	O
to	O
the	O
Olympic	O
Games	O
and	O
World	O
Equestrian	B
Games	O
.	O

Its	O
fundamental	O
purpose	O
is	O
to	O
develop	O
,	O
through	O
standardized	O
progressive	O
training	B
methods	O
,	O
a	O
horse	B
's	O
natural	O
athletic	O
ability	O
and	O
willingness	O
to	O
perform	O
,	O
thereby	O
maximizing	O
its	O
potential	O
as	O
a	O
riding	B
horse	I
.	O

At	O
the	O
peak	O
of	O
a	O
dressage	B
horse	I
's	O
gymnastic	B
development	O
,	O
the	O
horse	B
responds	O
smoothly	O
to	O
a	O
skilled	O
rider	B
's	O
minimal	O
aids	B
.	O

The	O
rider	B
is	O
relaxed	B
and	O
appears	O
effort-free	O
while	O
the	O
horse	B
willingly	O
performs	O
the	O
requested	O
movement	B
.	O

The	O
discipline	O
has	O
a	O
rich	O
history	O
with	O
ancient	O
roots	O
in	O
the	O
writings	O
of	O
Xenophon	O
.	O

Modern	B
dressage	I
has	O
evolved	O
as	O
an	O
important	O
equestrian	B
pursuit	O
since	O
the	O
Renaissance	O
when	O
Federico	O
Grisone	O
's	O
The	O
Rules	O
of	O
Riding	B
was	O
published	O
in	O
1550	O
,	O
the	O
first	O
treatise	O
on	O
equitation	B
in	O
over	O
a	O
thousand	O
years	O
since	O
Xenophon	O
's	O
On	O
Horsemanship	B
.	O

Much	O
about	O
training	B
systems	O
used	O
today	O
reflects	O
practices	O
of	O
classical	B
dressage	I
.	O

In	O
modern	B
dressage	I
competition	I
,	O
successful	O
training	B
at	O
the	O
various	O
levels	O
is	O
demonstrated	O
through	O
the	O
performance	O
of	O
tests	B
,	O
prescribed	O
series	O
of	O
movements	B
ridden	B
within	O
a	O
standard	B
arena	I
.	O

Judges	B
evaluate	O
each	O
movement	B
on	O
the	O
basis	O
of	O
an	O
objective	O
standard	O
appropriate	O
to	O
the	O
level	O
of	O
the	O
test	B
and	O
assign	O
each	O
movement	B
a	O
score	O
from	O
zero	O
to	O
ten	O
–	O
zero	O
being	O
not	O
executed	O
and	O
10	O
being	O
excellent	O
.	O

A	O
score	O
of	O
9	O
is	O
very	O
good	O
and	O
is	O
a	O
high	O
mark	O
,	O
while	O
a	O
competitor	O
achieving	O
all	O
6s	O
(	O
or	O
60	O
%	O
overall	O
)	O
should	O
be	O
considering	O
moving	O
on	O
to	O
the	O
next	O
level	O
.	O

Dressage	B
horses	I

All	O
riding	B
horses	I
can	O
benefit	O
from	O
use	O
of	O
dressage	B
principles	O
and	O
training	B
techniques	O
.	O

The	O
most	O
popular	O
horse	B
breeds	I
seen	O
at	O
the	O
Olympics	O
and	O
other	O
international	O
FEI	O
competitions	B
are	O
warmblood	B
horses	I
bred	B
for	O
dressage	B
.	O

In	O
classical	B
dressage	I
training	I
and	O
performances	O
that	O
involve	O
the	O
airs	B
above	I
the	I
ground	I
(	O
described	O
below	O
)	O
,	O
the	O
baroque	B
breeds	B
of	O
horses	B
are	O
popular	O
and	O
purposely	O
bred	B
for	O
these	O
specialties	O
.	O

Arena	B

There	O
are	O
two	O
sizes	O
of	O
arenas	B
:	O
small	O
and	O
standard	O
.	O

Each	O
has	O
letters	B
assigned	O
to	O
positions	O
around	O
the	O
arena	B
for	O
dressage	B
tests	I
to	O
specify	O
where	O
movements	B
are	O
to	O
be	O
performed	O
.	O

Cones	O
with	O
letters	B
on	O
them	O
are	O
positioned	O
on	O
the	O
sidelines	O
of	O
the	O
arena	B
for	O
reference	O
as	O
to	O
where	O
a	O
movement	B
is	O
to	O
be	O
performed	O
.	O

The	O
small	B
arena	I
is	O
20	O
by	O
40	O
m	O
(	O
66	O
by	O
131	O
ft	O
)	O
and	O
is	O
used	O
for	O
the	O
lower	O
levels	O
of	O
eventing	B
in	O
the	O
dressage	B
phase	O
,	O
as	O
well	O
as	O
for	O
some	O
pure	O
dressage	B
competitions	I
at	O
lower	O
levels	O
.	O

Its	O
letters	B
around	O
the	O
outside	O
edge	O
,	O
starting	O
from	O
the	O
point	O
of	O
entry	O
and	O
moving	O
clockwise	O
,	O
are	O
A-K-E-H-C-M-B-F	B
.	O

Letters	B
also	O
mark	O
locations	O
along	O
the	O
center	B
line	I
in	O
the	O
middle	O
of	O
the	O
arena	B
.	O

Moving	O
down	O
the	O
center	B
line	I
from	O
A	B
,	O
they	O
are	O
D-X-G	B
,	O
with	O
X	B
being	O
directly	O
between	O
E	B
and	O
B.	B

The	O
standard	B
arena	I
is	O
20	O
by	O
60	O
m	O
(	O
66	O
by	O
197	O
ft	O
)	O
,	O
and	O
is	O
used	O
for	O
tests	B
in	O
both	O
pure	O
dressage	B
and	O
eventing	B
.	O

The	O
standard	O
dressage	B
arena	I
letters	I
are	O
A-K-V-E-S-H-C-M-R-B-P-F	B
.	O

The	O
letters	B
on	O
the	O
long	B
sides	I
of	O
the	O
arena	B
,	O
nearest	O
the	O
corners	B
,	O
are	O
6	O
m	O
(	O
20	O
ft	O
)	O
in	O
from	O
the	O
corners	B
,	O
and	O
are	O
12	O
m	O
(	O
39	O
ft	O
)	O
apart	O
from	O
each	O
other	O
.	O

The	O
letters	B
along	O
the	O
center	B
line	I
are	O
