Myocardial	I
loss	O
of	O
IRS1	I
and	O
IRS2	I
causes	O
heart	I
failure	I
and	O
is	O
controlled	O
by	O
p38alpha	I
MAPK	I
during	O
insulin	I
resistance	I
.	O

Cardiac	I
failure	I
is	O
a	O
major	O
cause	O
of	O
death	I
in	O
patients	I
with	O
type	I
2	I
diabetes	I
,	O
but	O
the	O
molecular	O
mechanism	O
that	O
links	O
diabetes	I
to	O
heart	I
failure	I
remains	O
unclear	O
.	O

Insulin	I
resistance	I
is	O
a	O
hallmark	O
of	O
type	I
2	I
diabetes	I
,	O
and	O
insulin	I
receptor	I
substrates	I
1	I
and	O
2	I
(	O
IRS1	I
and	O
IRS2	I
)	O
are	O
the	O
major	O
insulin-signaling	I
components	O
regulating	O
cellular	I
metabolism	I
and	O
survival	O
.	O

To	O
determine	O
the	O
role	O
of	O
IRS1	I
and	O
IRS2	I
in	O
the	O
heart	I
and	O
examine	O
whether	O
hyperinsulinemia	I
causes	O
myocardial	I
insulin	I
resistance	I
and	O
cellular	I
dysfunction	I
via	O
IRS1	I
and	O
IRS2	I
,	O
we	O
generated	O
heart-specific	I
IRS1	I
and	I
IRS2	I
gene	I
double-knockout	I
(	O
H-DKO	I
)	O
mice	O
and	O
liver-specific	I
IRS1	I
and	I
IRS2	I
double-knockout	I
(	O
L-DKO	I
)	O
mice	O
.	O

H-DKO	I
mice	O
had	O
reduced	O
ventricular	I
mass	I
;	O
developed	O
cardiac	I
apoptosis	I
,	O
fibrosis	I
,	O
and	O
failure	I
;	O
and	O
showed	O
diminished	O
Akt→forkhead	I
box	I
class	I
O-1	I
signaling	I
that	O
was	O
accompanied	O
by	O
impaired	O
cardiac	I
metabolic	I
gene	I
expression	I
and	O
reduced	O
ATP	I
content	O
.	O

L-DKO	I
mice	O
had	O
decreased	O
cardiac	I
IRS1	I
and	O
IRS2	I
proteins	I
and	O
exhibited	O
features	O
of	O
heart	I
failure	I
,	O
with	O
impaired	O
cardiac	I
energy	I
metabolism	I
gene	I
expression	I
and	O
activation	O
of	O
p38α	I
mitogen-activated	I
protein	I
kinase	I
(	O
p38	I
)	O
.	O

Using	O
neonatal	O
rat	O
ventricular	I
cardiomyocytes	I
,	O
we	O
further	O
found	O
that	O
chronic	I
insulin	I
exposure	O
reduced	O
IRS1	I
and	O
IRS2	I
proteins	I
and	O
prevented	O
insulin	I
action	O
through	O
activation	O
of	O
p38	I
,	O
revealing	O
a	O
fundamental	O
mechanism	O
of	O
cardiac	I
dysfunction	I
during	O
insulin	I
resistance	I
and	O
type	I
2	I
diabetes	I
.	O

