Hemoglobin	B
,	O
exercise	O
training	O
,	O
and	O
health	B
status	O
in	O
patients	B
with	O
chronic	B
heart	I
failure	I
(	O
from	O
the	O
HF-ACTION	B
randomized	B
controlled	O
trial	O
)	O
.	O

Anemia	B
is	O
common	O
in	O
patients	B
with	O
chronic	B
heart	I
failure	I
(	O
HF	B
)	O
,	O
with	O
a	O
prevalence	B
ranging	O
from	O
10	O
%	O
to	O
56	O
%	O
,	O
and	O
may	O
be	O
a	O
risk	O
factor	O
for	O
poor	O
outcomes	B
.	O

Anemia	B
in	O
HF	B
remains	O
poorly	O
understood	O
,	O
with	O
significant	B
gaps	O
in	O
its	O
impact	O
on	O
health-related	B
quality	I
of	I
life	I
(	O
HRQoL	B
)	O
,	O
with	O
most	O
studies	O
in	O
HF	B
being	O
retrospective	O
or	O
from	O
registries	O
.	O

The	O
purpose	O
of	O
this	O
study	O
was	O
to	O
explore	O
the	O
relation	O
of	O
hemoglobin	B
(	O
Hgb	B
)	O
with	O
HRQoL	B
and	O
training-induced	O
changes	O
in	O
HRQoL	B
in	O
a	O
cohort	O
of	O
patients	B
in	O
Heart	B
Failure	I
:	I
A	I
Controlled	I
Trial	I
Investigating	I
Outcomes	I
of	I
Exercise	I
Training	I
(	O
HF-ACTION	B
)	O
.	O

Using	O
data	O
from	O
HF-ACTION	B
,	O
a	O
randomized	B
controlled	O
trial	O
of	O
exercise	O
training	O
in	O
patients	B
with	O
HF	B
and	O
low	O
left	B
ventricular	I
ejection	I
fractions	I
,	O
HRQoL	B
was	O
measured	O
using	O
the	O
Kansas	B
City	I
Cardiomyopathy	I
Questionnaire	I
(	O
KCCQ	B
)	O
at	O
baseline	B
,	O
3	O
and	O
12	O
months	O
,	O
and	O
annually	O
up	O
to	O
4	O
years	O
.	O

Treatment	O
group	O
effects	O
on	O
HRQoL	B
were	O
estimated	O
using	O
linear	B
mixed	I
models	I
according	O
to	O
the	O
intention-to-treat	B
principle	O
.	O

It	O
was	O
hypothesized	O
that	O
baseline	B
Hgb	B
would	O
be	O
correlated	B
with	O
baseline	B
KCCQ	B
scales	O
and	O
that	O
Hgb	B
would	O
moderate	O
the	O
beneficial	O
effect	O
of	O
exercise	O
training	O
on	O
HRQoL	B
.	O

Hgb	B
level	O
was	O
not	O
significantly	B
correlated	B
with	O
baseline	B
HRQoL	B
.	O

Baseline	B
Hgb	B
did	O
not	O
moderate	O
the	O
beneficial	O
effect	O
of	O
exercise	O
training	O
on	O
KCCQ	B
overall	O
or	O
subscales	O
relative	O
to	O
usual	O
care	O
.	O

In	O
conclusion	O
,	O
in	O
the	O
HF-ACTION	B
cohort	O
,	O
there	O
was	O
no	O
correlation	B
with	O
baseline	B
Hgb	B
and	O
baseline	B
HRQoL	B
as	O
measured	O
by	O
the	O
KCCQ	B
.	O

In	O
addition	O
,	O
the	O
beneficial	O
effects	O
of	O
HRQoL	B
from	O
exercise	O
training	O
were	O
not	O
modulated	O
by	O
baseline	B
Hgb	B
.	O

