Wind	B
Turbine	I
Technology	I

BWEA	B
Briefing	O
Sheet	O
Wind	B
Turbine	I
Technology	I

Since	O
earliest	O
times	O
,	O
man	O
has	O
harnessed	O
the	O
power	B
of	O
the	O
wind	B
,	O
with	O
the	O
first	O
mill	B
recorded	O
as	O
long	O
ago	O
as	O
the	O
6th	O
century	O
AD	O
.	O

The	O
technology	B
has	O
diversified	O
over	O
the	O
years	O
to	O
include	O
pumping	O
water	O
,	O
grinding	O
grain	O
,	O
powering	O
sawmills	B
and	O
most	O
recently	O
generating	O
electricity	B
,	O
now	O
the	O
fastest	O
growing	O
energy	B
sector	O
worldwide	O
.	O

Wind	B
turbine	I
technology	I
has	O
developed	O
rapidly	O
in	O
recent	O
years	O
and	O
Europe	B
is	O
at	O
the	O
hub	O
of	O
this	O
hightech	O
industry	B
.	O

Wind	B
turbines	I
are	O
becoming	O
more	O
powerful	O
,	O
with	O
the	O
latest	O
turbine	B
models	O
having	O
larger	O
blade	B
lengths	I
which	O
can	O
utilise	O
more	O
wind	B
and	O
therefore	O
produce	O
more	O
electricity	B
,	O
bringing	O
down	O
the	O
cost	O
of	O
renewable	B
energy	I
generation	I
.	O

The	O
first	O
commercial	O
wind	B
farm	I
in	O
the	O
UK	B
,	O
built	O
in	O
1991	O
at	O
Delabole	B
in	O
Growth	O
in	O
size	O
of	O
commercial	O
wind	B
turbine	I
design	O
©	O
EWEA	B
Cornwall	B
,	O
used	O
400	O
kilowatt	B
(	O
kW	B
)	O
turbines	B
,	O
while	O
the	O
latest	O
trials	O
have	O
involved	O
turbines	B
ten	O
times	O
more	O
powerful	O
,	O
of	O
four	O
megawatts	B
(	O
MW	B
)	O
and	O
above	O
.	O

The	O
average	O
size	O
of	O
an	O
onshore	B
wind	I
turbine	I
installed	O
in	O
2005	O
was	O
approximately	O
2	O
MW	B
.	O

Wind	B
turbines	I
have	O
an	O
average	O
working	O
life	O
of	O
20	O
-	O
25	O
years	O
,	O
after	O
which	O
the	O
turbines	B
can	O
be	O
replaced	O
with	O
new	O
ones	O
or	O
decommissioned	O
.	O

Old	O
turbines	B
can	O
be	O
sold	O
in	O
the	O
second	O
hand	O
market	O
and	O
they	O
also	O
have	O
a	O
scrap	O
value	O
which	O
can	O
be	O
used	O
for	O
any	O
ground	O
restoration	O
work	O
.	O

1	O

How	O
Does	O
a	O
Wind	B
Turbine	I
Work	O
?	O

Wind	B
turbines	I
produce	O
electricity	B
by	O
using	O
the	O
natural	O
power	B
of	O
the	O
wind	B
to	O
drive	O
a	O
generator	B
.	O

The	O
wind	B
is	O
a	O
clean	O
and	O
sustainable	B
fuel	I
source	I
,	O
it	O
does	O
not	O
create	O
emissions	B
and	O
it	O
will	O
never	O
run	O
out	O
as	O
it	O
is	O
constantly	O
replenished	O
by	O
energy	B
from	O
the	O
sun	O
.	O

In	O
many	O
ways	O
,	O
wind	B
turbines	I
are	O
the	O
natural	O
evolution	O
of	O
traditional	O
windmills	B
,	O
but	O
now	O
typically	O
have	O
three	O
blades	B
,	O
which	O
rotate	B
around	O
a	O
horizontal	O
hub	B
at	O
the	O
top	O
of	O
a	O
steel	O
tower	B
.	O

Most	O
wind	B
turbines	I
start	O
generating	O
electricity	B
at	O
wind	B
speeds	I
of	O
around	O
3	O
-	O
4	O
metres	O
per	O
second	O
(	O
m	O
/	O
s	O
)	O
,	O
(	O
8	O
miles	O
per	O
hour	O
)	O
;	O
generate	O
maximum	O
'	O
rated	B
'	O
power	B
at	O
around	O
15	O
m	O
/	O
s	O
(	O
30mph	O
)	O
;	O
and	O
shut	O
down	O
to	O
prevent	O
storm	B
damage	O
at	O
25	O
m	O
/	O
s	O
or	O
above	O
(	O
50mph	O
)	O
.	O

Wind	B
Turbine	I
Technology	I
Generating	O
electricity	B
from	O
the	O
wind	B
is	O
simple	O
:	O
Wind	B
passes	O
over	O
the	O
blades	B
exerting	O
a	O
turning	O
force	O
.	O

The	O
turbine	B
rotating	B
blades	B
turn	O
a	O
shaft	B
inside	O
the	O
nacelle	B
,	O
which	O
goes	O
into	O
a	O
gearbox	B
.	O

The	O
gearbox	B
increases	O
the	O
rotation	B
speed	I
for	O
the	O
generator	B
,	O
which	O
uses	O
magnetic	B
fields	I
to	O
convert	O
the	O
rotational	B
energy	I
into	O

Components	O
of	O
a	O
typical	O
wind	B

www.embracewind.com	O

www.bwea.com	O

electrical	B
energy	I
.	O

The	O
power	B
output	I
goes	O
to	O
a	O
transformer	B
,	O
which	O
converts	O
the	O
electricity	B
from	O
the	O
generator	B
at	O
around	O
700	O
Volts	B
(	O
V	B
)	O
to	O
the	O
right	O
voltage	B
for	O
the	O
distribution	B
system	I
,	O
typically	O
between	O
11	O
kV	B
and	O
132	O
kV	B
.	O

The	O
regional	O
electricity	B
distribution	I
networks	I
or	O
National	B
Grid	I
transmit	O
the	O
electricity	B
around	O
the	O
country	O
,	O
and	O
on	O
into	O
homes	O
and	O
businesses	O
.	O

Offshore	B
Technology	B

Offshore	B
wind	I
farms	I
are	O
an	O
exciting	O
new	O
area	O
for	O
the	O
industry	B
,	O
largely	O
due	O
to	O
the	O
fact	O
that	O
there	O
are	O
higher	O
wind	B
speeds	I
available	O
offshore	B
and	O
economies	O
of	O
scale	O
allow	O
for	O
the	O
installation	O
of	O
larger	O
size	O
wind	B
turbines	I
offshore	B
.	O

Offshore	B
wind	I
turbine	I
technology	I
is	O
based	O
on	O
the	O
same	O
principles	O
as	O
onshore	B
technology	B
.	O

Foundations	B
are	O
constructed	O
to	O
hold	O
the	O
superstructure	O
,	O
of	O
which	O
there	O
are	O
a	O
number	O
of	O
designs	O
,	O
but	O
the	O
most	O
common	O
is	O
a	O
driven	B
pile	I
.	O

The	O
top	O
of	O
the	O
foundation	B
is	O
painted	O
a	O
bright	O
colour	O
to	O
make	O
it	O
visible	O
to	O
ships	O
and	O
has	O
an	O
access	O
platform	O
to	O
allow	O
maintenance	O
teams	O
to	O
dock	O
.	O

Subsea	O
cables	B
take	O
the	O
power	B
to	O
a	O
transformer	B
,	O
(	O
which	O
can	O
be	O
either	O
offshore	B
or	O
onshore	B
)	O
which	O
converts	O
the	O
electricity	B
to	O
a	O
high	O
voltage	B
(	O
normally	O
between	O
33	O
kV	B
and	O
132	O
kv	B
)	O
before	O
connecting	O
to	O
the	O
grid	B
at	O
a	O
