Technical	B
Description	O
and	O
Data	O
of	O
the	O
Wind	B
Turbine	I

REpower	O
48	O
/	O
600	O

REpower	O
Systems	O
AG	O
,	O
Hamburg	O
Husum	O
Rendsburg	O
Trampe	O
,	O
Germany	O

Dok.-Nr	O
.	O
:	O

D-80.1-GP.SD.03-A-A-GB	O

Technical	B
Description	O
REpower	O
48	O
/	O
600	O

Table	O
of	O
Contents	O
1	O
Description	O
of	O
the	O
Wind	B
Turbine	I
.............................................................................	O
3	O
1.1	O
1.2	O
1.3	O
1.4	O
1.5	O
1.6	O
1.7	O
1.8	O
1.9	O
Design	O
Concept	O
...............................................................................................	O
3	O
Rotor	B
...............................................................................................................	O
3	O
Gearbox	B
..........................................................................................................	O
3	O
Brake	B
System	I
...................................................................................................	O
4	O
Generator	B
........................................................................................................	O
4	O
Yaw	B
System	I
.....................................................................................................	O
4	O
Nacelle	B
............................................................................................................	O
5	O
Tower	B
..............................................................................................................	O
5	O
Corrosion	B
Protection	O
........................................................................................	O
5	O

1.10	O
Lightning	B
Protection	I
........................................................................................	O
5	O
1.11	O
Remote	B
Data	I
Monitoring	I
.................................................................................	O
6	O
2	O
3	O
4	O
Technical	B
data	O
..........................................................................................................	O
7	O
Predicted	O
power	B
curve	I
of	O
REpower	O
48	O
/	O
600	O
..............................................................	O
8	O
Calculated	O
annual	O
energy	B
production	I
......................................................................	O
9	O

Doc.-No	O
.	O
:	O

D-80.1-GP.SD.03-A-A-GB	O

2002-09-10	O

page	O
2	O
/	O
9	O

Technical	B
Description	O
REpower	O
48	O
/	O
600	O

1	O

Description	O
of	O
the	O
Wind	B
Turbine	I

1.1	O
Design	O
Concept	O

The	O
48	O
/	O
600	O
wind	B
turbine	I
,	O
type-tested	O
by	O
Germanischer	O
Lloyd	O
,	O
has	O
a	O
nominal	B
electrical	I
power	I
of	O
600	O
kW	B
.	O

The	O
rotor	B
diameter	I
is	O
48.4	O
m	O
,	O
and	O
power	B
control	I
is	O
based	O
on	O
the	O
stall	B
principle	B
.	O

For	O
the	O
sake	O
of	O
smooth	O
connection	O
to	O
the	O
grid	B
,	O
a	O
set	O
of	O
thyristors	B
is	O
interposed	O
between	O
the	O
mains	B
supply	I
and	O
the	O
generator	B
during	O
the	O
start	O
phase	O
.	O

Even	O
at	O
inland	O
sites	O
with	O
relatively	O
low	O
wind	B
speed	I
,	O
the	O
48	O
/	O
600	O
attains	O
very	O
good	O
production	O
because	O
of	O
its	O
large	O
rotor	B
and	O
correspondingly	O
high	O
tower	B
.	O

1.2	O
Rotor	B

The	O
rotor	B
consists	O
of	O
three	O
blades	B
rigidly	O
flange-mounted	B
on	O
a	O
cast	O
hub	B
.	O

The	O
overall	O
diameter	O
is	O
48.4	O
m	O
giving	O
a	O
swept	B
area	I
of	O
1840	O
m²	O
.	O

As	O
a	O
function	O
of	O
wind	B
speed	I
the	O
rotational	B
speed	I
is	O
14	O
or	O
21	O
rpm	B
.	O

This	O
matching	O
of	O
rotational	B
speed	I
makes	O
the	O
48	O
/	O
600	O
particularly	O
suitable	O
for	O
inland	O
locations	O
.	O

The	O
material	O
of	O
the	O
blades	B
is	O
a	O
glass-fibre	B
reinforced	I
plastic	I
(	O
GRP	B
)	O
.	O

Each	O
blade	B
tip	I
is	O
pivotable	O
and	O
can	O
be	O
turned	O
74	O
degrees	O
to	O
the	O
main	B
blade	I
.	O

The	O
three	O
blade	B
tips	I
are	O
working	O
by	O
an	O
independent	O
hydraulic-system	B
.	O

The	O
hydraulic-pressure	B
is	O
required	O
to	O
keep	O
the	O
tips	B
in	O
the	O
operational	O
position	O
.	O

1.3	O
Gearbox	B

The	O
gearbox	B
is	O
a	O
planetary	B
/	I
spur	I
gear	I
system	I
and	O
meets	O
all	O
requirements	O
of	O
the	O
Germanischer	O
Lloyd	O
classification	O
society	O
.	O

These	O
components	O
are	O
designed	O
and	O
constructed	O
by	O
an	O
experienced	O
transmission	B
manufacturer	O
in	O
accordance	O
with	O
REpower	O
specifications	O
.	O

The	O
ratio	O
is	O
about	O
72	O
.	O

Wind	B
turbines	I
made	O
by	O
REpower	O
Systems	O
AG	O
are	O
distinguished	O
by	O
their	O
particularly	O
quiet	O
running	O
.	O

Vibration	B
dampers	I
specially	O
developed	O
by	O
us	O
are	O
used	O
for	O
the	O
decoupling	O
of	O
structureborne	O
noise	O
.	O

These	O
guarantee	O
maximum	O
attenuation	O
between	O
gearbox	B
and	O
machine	B
bed	I
.	O

Doc.-No	O
.	O
:	O

D-80.1-GP.SD.03-A-A-GB	O

2002-09-10	O

page	O
3	O
/	O
9	O

Technical	B
Description	O
REpower	O
48	O
/	O
600	O

1.4	O
Brake	B
System	I

The	O
blade	B
tip	I
adjustment	O
works	O
independently	O
in	O
each	O
individual	O
blade	B
.	O

If	O
one	O
system	O
fails	O
,	O
the	O
aerodynamic	B
brakes	I
in	O
the	O
other	O
two	O
blades	B
continue	O
to	O
be	O
active	O
.	O

Even	O
at	O
maximum	O
output	O
,	O
extending	O
and	O
twisting	O
just	O
one	O
blade	B
tip	I
is	O
sufficient	O
to	O
bring	O
the	O
plant	B
into	O
the	O
safe	O
rotational	B
speed	I
range	O
.	O

In	O
addition	O
,	O
there	O
is	O
a	O
mechanical	B
disk	I
brake	I
on	O
the	O
fast	B
shaft	I
between	O
drive	B
train	I
and	O
generator	B
.	O

The	O
two	O
braking	B
systems	I
,	O
the	O
aerodynamic	B
and	O
mechanical	B
disk	I
brake	I
,	O
work	O
independently	O
of	O
each	O
other	O
.	O

In	O
order	O
to	O
guarantee	O
safe	O
braking	B
even	O
in	O
the	O
event	O
of	O
failure	O
of	O
individual	O
components	O
(	O
the	O
hydraulics	B
,	O
for	O
example	O
)	O
or	O
a	O
mains	O
failure	O
,	O
the	O
braking	B
systems	I
are	O
configured	O
to	O
be	O
fail-safe	O
.	O

Besides	O
this	O
,	O
an	O
independent	O
power	B
supply	I
is	O
provided	O
for	O
the	O
controller	O
that	O
guarantees	O
safe	O
braking	B
of	O
the	O
wind	B
turbine	I
in	O
the	O
event	O
of	O
a	O
voltage	B
or	O
grid	B
failure	I
.	O

1.5	O
Generator	B

The	O
generator	B
is	O
a	O
two-stage	B
,	I
pole-changeable	I
asynchronous	I
machine	I
.	O

Depending	O
on	O
wind	B
speed	I
,	O
the	O
first	O
stage	O
supplies	O
up	O
to	O
160	O
kW	B
and	O
the	O
second	O
up	O
to	O
600	O
kW	B
.	O

The	O
generator	B
is	O
of	O
protection	B
class	I
IP	I
54	I
.	O

Cooling	O
is	O
effected	O
by	O
forced-air	B
ventilation	I
.	O

Temperature	B
sensors	I
are	O
installed	O
both	O
on	O
the	O
bearings	B
and	O
in	O
the	O
windings	B
for	O
monitoring	O
the	O
machine	B
temperature	O
.	O

Various	O
covers	O
,	O
e.g.	O
on	O
the	O
fast	B
shaft	I
,	O
make	O
it	O
impossible	O
to	O
come	O
into	O
contact	O
with	O
moving	O
parts	O
.	O

The	O
housing	B
of	O
the	O
generator	B
is	O
earthed	B
in	O
order	O
to	O
provide	O
equipotential	B
bonding	I
.	O

The	O
generator	B
is	O
elastically	O
supported	O
on	O
the	O
machine	B
bed	I
by	O
noise	O
and	O
vibration-decoupling	B
elements	O
,	O
for	O
the	O
sake	O
of	O
improved	O
noise	B
insulation	I
and	O
decoupling	O
.	O

1.6	O
Yaw	B
System	I

The	O
nacelle	B
is	O
connected	O
to	O
the	O
tower	B
by	O
means	O
of	O
a	O
four-point	B
bearing	I
.	O

Yawing	B
of	O
the	O
nacelle	B
is	O
achieved	O
by	O
means	O
of	O
two	O
electrical	B
servo	I
drives	I
.	O

Hydraulic	B
brakes	I
serve	O
to	O
secure	O
the	O
nacelle	B
.	O

In	O
the	O
case	O
of	O
grid	B
failure	I
the	O
brakes	B
are	O
active	O
.	O

An	O
electronic	B
wind-direction	I
sensor	I
system	O
with	O
the	O
corresponding	O
software	O
controls	O
the	O
switch-on	O
times	O
and	O
the	O
direction	O
of	O
rotation	B
of	O
the	O
motors	B
.	O

It	O
also	O
operates	O
the	O
automatic	B
cable	I
untwisting	I
when	O
under	O
varying	O
wind	B
direction	I
the	O
plant	B
has	O
turned	O
repeatedly	O
in	O
one	O
direction	O
.	O

Doc.-No	O
.	O
:	O

D-80.1-GP.SD.03-A-A-GB	O

2002-09-10	O

page	O
4	O
/	O
9	O

Technical	B
Description	O
REpower	O
48	O
/	O
600	O

1.7	O
Nacelle	B

The	O
nacelle	B
is	O
fitted	O
with	O
a	O
sound-proofed	B
GRP	I
covering	I
.	O

In	O
order	O
to	O
provide	O
optimal	O
conditions	O
for	O
servicing	O
and	O
maintenance	O
,	O
the	O
nacelle	B
is	O
of	O
sufficiently	O
large	O
dimension	O
.	O

Maintenance	O
work	O
can	O
be	O
done	O
even	O
in	O
poor	O
weather	O
without	O
opening	O
the	O
nacelle	B
covering	I
.	O

Access	O
from	O
the	O
tower	B
into	O
the	O
nacelle	B
is	O
gained	O
via	O
a	O
hatch	O
in	O
the	O
basic	B
frame	I
.	O

There	O
is	O
additionally	O
a	O
maintenance	O
platform	O
for	O
accessing	O
the	O
components	O
underneath	O
the	O
basic	B
frame	I
.	O

All	O
components	O
,	O
as	O
for	O
example	O
the	O
azimuth	B
system	I
and	O
the	O
hydraulics	B
,	O
can	O
be	O
operated	O
via	O
the	O
control	B
panels	I
of	O
the	O
nacelle	B
.	O

