Objectif	O
:	O
Évaluer	O
quantitativement	O
la	O
concordance	O
entre	O
les	O
données	O
répertoriées	O
dans	O
la	O
base	O
de	O
données	O
sur	O
les	O
ordonnances	O
de	O
la	O
Colombie-Britannique	O
(	O
PharmaNet	O
)	O
et	O
l'	O
utilisation	O
réelle	O
des	O
médicaments	I
d'	O
ordonnance	O
selon	O
une	O
évaluation	O
faite	O
à	O
partir	O
d'	O
entretiens	O
avec	O
les	O
patients	I
.	O

Méthodes	O
:	O
Des	O
patients	I
externes	O
prenant	O
des	O
médicaments	I
d'	O
ordonnance	O
pour	O
l'	O
insuffisance	I
cardiaque	I
ont	O
été	O
sélectionnés	O
à	O
partir	O
des	O
dossiers	O
de	O
cliniques	I
externes	O
et	O
de	O
pharmacies	I
communautaires	O
.	O

Les	O
patients	I
consentants	O
ont	O
apporté	O
leurs	O
médicaments	I
d'	O
ordonnance	O
dans	O
le	O
cadre	O
d'	O
un	O
entretien	O
au	O
cours	O
duquel	O
les	O
profils	O
de	O
PharmaNet	O
ont	O
été	O
examinés	O
,	O
et	O
un	O
consensus	O
a	O
été	O
dégagé	O
concernant	O
l'	O
utilisation	O
actuelle	O
des	O
médicaments	I
.	O

Résultats	O
:	O
Des	O
différences	O
entre	O
le	O
profil	O
PharmaNet	O
et	O
l'	O
historique	O
des	O
médicaments	I
d'	O
ordonnance	O
issu	O
de	O
l'	O
entretien	O
ont	O
été	O
relevées	O
chez	O
138	O
(	O
71,1	O
%	O
)	O
des	O
194	O
patients	I
interrogés	O
;	O
ces	O
différences	O
touchaient	O
un	O
total	O
de	O
353	O
(	O
24,2	O
%	O
)	O
des	O
1457	O
médicaments	I
prescrits	I
.	O

La	O
différence	O
la	O
plus	O
fréquente	O
avait	O
trait	O
à	O
des	O
médicaments	I
qui	O
apparaissaient	O
dans	O
PharmaNet	O
,	O
mais	O
qui	O
portaient	O
le	O
statut	O
inactif	O
(	O
ordonnance	O
à	O
renouveler	O
)	O
d'	O
après	O
l'	O
enregistrement	O
des	O
renouvellements	O
d'	O
ordonnance	O
(	O
205	O
médicaments	I
chez	O
81	O
patients	I
)	O
.	O

On	O
a	O
noté	O
85	O
différences	O
au	O
chapitre	O
de	O
la	O
posologie	I
,	O
la	O
plupart	O
du	O
temps	O
attribuables	O
à	O
des	O
effets	O
indésirables	O
(	O
11	O
/	O
85	O
ou	O
13	O
%	O
)	O
ou	O
à	O
l'	O
inefficacité	O
(	O
10	O
/	O
85	O
ou	O
12	O
%	O
)	O
.	O

Les	O
différences	O
étaient	O
attribuables	O
plus	O
fréquemment	O
aux	O
diurétiques	I
qu'	O
aux	O
autres	O
médicaments	I
(	O
77	O
/	O
353	O
ou	O
21,8	O
%	O
)	O
,	O
suivis	O
des	O
â-bloquants	I
(	O
38	O
/	O
353	O
ou	O
10,8	O
%	O
)	O
et	O
des	O
inhibiteurs	I
de	I
l'	I
enzyme	I
de	I
conversion	I
de	I
l'	I
angiotensine	I
(	O
28	O
/	O
353	O
ou	O
7,9	O
%	O
)	O
.	O

Conclusions	O
:	O
La	O
majorité	O
des	O
médicaments	I
d'	O
ordonnance	O
pris	O
par	O
les	O
patients	I
externes	O
souffrant	O
d'	O
insuffisance	I
cardiaque	I
apparaissaient	O
dans	O
le	O
profil	O
PharmaNet	O
;	O
toutefois	O
,	O
il	O
était	O
difficile	O
,	O
sans	O
parler	O
au	O
patient	I
,	O
de	O
déterminer	O
quels	O
médicaments	I
ils	O
prenaient	O
toujours	O
ou	O
quelle	O
était	O
la	O
dose	O
réellement	O
prise	O
.	O

Les	O
profils	O
PharmaNet	O
peuvent	O
être	O
un	O
outil	O
précieux	O
pour	O
déterminer	O
un	O
historique	O
de	O
médicaments	I
d'	O
ordonnance	O
précis	O
,	O
s'	O
ils	O
sont	O
examinés	O
et	O
clarifiés	O
dans	O
le	O
cadre	O
d'	O
un	O
entretien	O
avec	O
les	O
patients	I
.	O

