AII-antagonisten	I
bij	O
chronisch	I
hartfalen	I
en	O
REDACTIONEEL	O
myocardinfarct	I

Enkele	O
recente	O
klinische	I
onderzoeken	O
hebben	O
nieuwe	O
informatie	O
opgeleverd	O
over	O
de	O
effectiviteit	O
van	O
angiotensine-II-antagonisten	I
bij	O
de	O
behandeling	O
van	O
chronisch	I
hartfalen	I
en	O
acuut	I
myocardinfarct	I
.	O

In	O
het	O
CHARM-onderzoek	I
(	O
zie	O
ook	O
MFM	I
2004;42:70-1	O
)	O
werd	O
het	O
effect	O
van	O
candesartan	I
op	O
mortaliteit	I
(	O
zowel	O
door	O
cardiovasculaire	I
als	O
overige	O
oorzaken	O
)	O
en	O
morbiditeit	I
gedurende	O
2	O
-	O
4	O
jaar	O
onderzocht	O
bij	O
patiënten	I
met	O
chronisch	I
hartfalen	I
.	O

Dit	O
onderzoek	O
bestond	O
uit	O
drie	O
parallelle	O
armen	O
:	O
CHARM-Alternative	I
(	O
zonder	O
ACE-remmer	I
vanwege	O
intolerantie	O
,	O
linkerventrikelejectiefractie	I
[	O
LVEF	I
]	O
=	O
40	O
%	O
)	O
,	O
CHARM-Added	I
(	O
met	O
ACE-remmer	I
,	O
LVEF	I
=	O
40	O
%	O
)	O
en	O
CHARM-Preserved	I
(	O
LVEF	I
>	O
40	O
%	O
)	O
.	O

De	O
startdosering	O
van	O
candesartan	I
was	O
4	O
of	O
8	O
mg	O
en	O
de	O
dosis	O
werd	O
zo	O
mogelijk	O
stapsgewijs	O
verhoogd	O
tot	O
32	O
mg	O
eenmaaldaags	O
.	O

